ENA.Accession.Number,Isolate,Lane.accession,Sequecning Status,Year,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP
ERS357483,11658_5#78,ERR434816,Previously sequenced,2003,S,S,,R,R,I,R,,S,,,S
ERS357484,11658_5#79,ERR434817,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS356763,11658_5#7,ERR434745,Previously sequenced,2007,S,S,S,,S,S,S,S,S,S,S,S
ERS357488,11658_5#80,ERR434818,Previously sequenced,2003,S,S,,R,R,S,S,,S,,,S
ERS357490,11658_5#81,ERR434819,Previously sequenced,2002,R,R,,R,S,S,S,,S,,,S
ERS357494,11658_5#82,ERR434820,Previously sequenced,2005,S,S,,R,R,S,R,,S,,,S
ERS357527,11658_5#83,ERR434821,Previously sequenced,2004,S,S,,R,R,S,S,,S,,,S
ERS357539,11658_5#84,ERR434822,Previously sequenced,2004,S,S,,R,S,S,S,,S,,,S
ERS357543,11658_5#85,ERR434823,Previously sequenced,2004,S,S,,R,S,S,S,,S,,,S
ERS357546,11658_5#86,ERR434824,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357566,11658_5#87,ERR434825,Previously sequenced,2005,R,R,,R,R,S,R,,R,,,R
ERS357567,11658_5#88,ERR434826,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,S
ERS357621,11658_5#89,ERR434827,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS356764,11658_5#8,ERR434746,Previously sequenced,2007,S,S,S,,S,S,S,S,S,S,S,S
ERS357629,11658_5#90,ERR434828,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,S
ERS357856,11658_5#91,ERR434829,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS357896,11658_5#92,ERR434830,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,S
ERS357928,11658_5#93,ERR434831,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,S
ERS357972,11658_5#94,ERR434832,Previously sequenced,2009,S,S,,R,R,S,S,,S,,,S
ERS357996,11658_5#95,ERR434833,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS358118,11658_5#96,ERR434834,Previously sequenced,2011,S,S,,R,R,S,S,,S,,,S
ERS356769,11658_5#9,ERR434747,Previously sequenced,2007,S,S,S,,S,S,S,I,S,S,S,S
ERS356791,11658_6#10,ERR434844,Previously sequenced,2007,R,R,R,,R,S,R,R,S,R,R,R
ERS356792,11658_6#11,ERR434845,Previously sequenced,2007,S,S,R,,R,S,S,S,S,S,R,S
ERS356794,11658_6#12,ERR434846,Previously sequenced,2007,S,S,S,,S,S,S,S,S,S,S,S
ERS356805,11658_6#13,ERR434847,Previously sequenced,2008,S,R,R,,R,S,R,R,S,R,R,R
ERS356807,11658_6#14,ERR434848,Previously sequenced,2008,S,S,S,,S,S,S,S,S,S,R,R
ERS356808,11658_6#15,ERR434849,Previously sequenced,2008,S,S,R,,S,S,S,I,S,S,R,R
ERS356813,11658_6#16,ERR434850,Previously sequenced,2008,R,R,R,,R,I,R,R,S,S,R,R
ERS356820,11658_6#17,ERR434851,Previously sequenced,2008,S,S,R,,S,S,S,S,S,S,R,S
ERS356825,11658_6#18,ERR434852,Previously sequenced,2008,S,S,S,,S,S,S,S,S,S,S,S
ERS356828,11658_6#19,ERR434853,Previously sequenced,2008,S,S,R,,S,S,S,S,S,S,S,S
ERS356745,11658_6#1,ERR434835,Previously sequenced,2007,S,S,S,,S,S,S,S,S,S,S,S
ERS356830,11658_6#20,ERR434854,Previously sequenced,2008,S,S,S,,S,S,S,S,S,S,S,S
ERS356848,11658_6#21,ERR434855,Previously sequenced,2008,S,S,R,,S,S,S,S,S,S,S,S
ERS356857,11658_6#22,ERR434856,Previously sequenced,2009,R,R,R,,R,S,R,R,S,S,S,I
ERS356862,11658_6#23,ERR434857,Previously sequenced,2009,S,S,R,,R,S,S,I,S,S,S,S
ERS356876,11658_6#24,ERR434858,Previously sequenced,2009,S,S,R,,R,S,R,I,S,S,R,S
ERS356886,11658_6#25,ERR434859,Previously sequenced,2009,S,S,R,,R,S,R,R,S,S,S,S
ERS356887,11658_6#26,ERR434860,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356889,11658_6#27,ERR434861,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356891,11658_6#28,ERR434862,Previously sequenced,2009,S,S,R,,S,S,S,S,S,S,S,S
ERS356898,11658_6#29,ERR434863,Previously sequenced,2009,S,S,R,,S,R,S,I,S,S,S,S
ERS356750,11658_6#2,ERR434836,Previously sequenced,2007,S,S,S,,S,S,S,S,S,S,S,S
ERS356904,11658_6#30,ERR434864,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356914,11658_6#31,ERR434865,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356917,11658_6#32,ERR434866,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,R,R
ERS356921,11658_6#33,ERR434867,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356925,11658_6#34,ERR434868,Previously sequenced,2010,S,S,S,,S,S,S,S,S,S,S,S
ERS357024,11658_6#35,ERR434869,Previously sequenced,2010,S,S,S,,S,S,S,S,S,S,R,S
ERS357025,11658_6#36,ERR434870,Previously sequenced,2010,S,S,R,,R,R,S,I,S,S,R,S
ERS357028,11658_6#37,ERR434871,Previously sequenced,2010,S,S,S,,S,S,S,I,S,S,S,S
ERS357034,11658_6#38,ERR434872,Previously sequenced,2011,S,S,R,,S,S,S,I,S,S,S,S
ERS357036,11658_6#39,ERR434873,Previously sequenced,2011,S,S,R,,S,S,S,I,S,S,R,R
ERS356751,11658_6#3,ERR434837,Previously sequenced,2007,S,S,S,,S,S,S,S,S,S,S,S
ERS357050,11658_6#40,ERR434874,Previously sequenced,2011,S,S,S,,S,S,S,S,S,S,S,S
ERS357051,11658_6#41,ERR434875,Previously sequenced,2011,I,R,R,,S,S,R,R,S,S,S,R
ERS357053,11658_6#42,ERR434876,Previously sequenced,2011,S,S,R,,R,S,S,I,S,S,S,S
ERS357058,11658_6#43,ERR434877,Previously sequenced,2012,,,,,,,,,,,,
ERS357061,11658_6#44,ERR434878,Previously sequenced,2012,S,S,R,,S,S,S,I,S,S,R,S
ERS357063,11658_6#45,ERR434879,Previously sequenced,2012,S,S,R,,S,S,S,S,S,S,S,S
ERS357071,11658_6#47,ERR434881,Previously sequenced,2012,S,S,R,,R,S,S,I,S,S,R,S
ERS357077,11658_6#48,ERR434882,Previously sequenced,2012,S,S,R,,S,S,S,S,S,S,S,S
ERS357084,11658_6#49,ERR434883,Previously sequenced,2012,I,R,R,,R,S,R,R,S,S,R,S
ERS356756,11658_6#4,ERR434838,Previously sequenced,2007,S,S,S,,S,S,S,I,S,S,S,S
ERS357089,11658_6#50,ERR434884,Previously sequenced,2012,S,S,S,,S,S,S,S,S,S,R,S
ERS357094,11658_6#51,ERR434885,Previously sequenced,2012,S,S,R,,R,R,S,R,S,S,S,S
ERS357095,11658_6#52,ERR434886,Previously sequenced,2012,S,S,R,,S,S,S,S,S,S,R,S
ERS357098,11658_6#53,ERR434887,Previously sequenced,2012,S,S,R,,S,S,S,I,R,R,S,S
ERS357102,11658_6#54,ERR434888,Previously sequenced,2012,S,S,R,,R,S,S,I,S,S,S,S
ERS357108,11658_6#55,ERR434889,Previously sequenced,2012,S,S,R,,R,S,S,S,S,S,S,S
ERS357109,11658_6#56,ERR434890,Previously sequenced,2012,S,S,R,,S,S,S,S,S,S,S,S
ERS357206,11658_6#57,ERR434891,Previously sequenced,2012,S,S,S,,S,S,S,S,S,S,S,S
ERS357219,11658_6#58,ERR434892,Previously sequenced,2001,S,,,S,S,I,S,,S,,,S
ERS357227,11658_6#59,ERR434893,Previously sequenced,2001,S,,,R,S,S,S,,S,,,S
ERS356758,11658_6#5,ERR434839,Previously sequenced,2007,S,S,S,,S,S,S,S,S,S,S,S
ERS357236,11658_6#60,ERR434894,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS357242,11658_6#61,ERR434895,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357245,11658_6#62,ERR434896,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357290,11658_6#63,ERR434897,Previously sequenced,2002,S,S,,R,R,S,S,,S,,,S
ERS357399,11658_6#64,ERR434898,Previously sequenced,2003,S,S,,R,S,S,S,,S,,,R
ERS357419,11658_6#65,ERR434899,Previously sequenced,2003,S,S,,R,S,S,S,,S,,,S
ERS357442,11658_6#66,ERR434900,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357451,11658_6#67,ERR434901,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357453,11658_6#68,ERR434902,Previously sequenced,2004,S,S,,S,S,I,S,,S,,,S
ERS357457,11658_6#69,ERR434903,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS356779,11658_6#6,ERR434840,Previously sequenced,2007,S,S,R,,S,S,S,I,S,S,S,S
ERS357462,11658_6#70,ERR434904,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,R
ERS357473,11658_6#71,ERR434905,Previously sequenced,2002,S,S,,R,R,S,S,,S,,,S
ERS357479,11658_6#72,ERR434906,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS357497,11658_6#73,ERR434907,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,R
ERS357500,11658_6#74,ERR434908,Previously sequenced,2005,S,S,,R,R,S,S,,S,,,S
ERS357502,11658_6#75,ERR434909,Previously sequenced,2005,S,S,,R,R,S,S,,S,,,S
ERS357503,11658_6#76,ERR434910,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357507,11658_6#77,ERR434911,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357509,11658_6#78,ERR434912,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,R
ERS357529,11658_6#79,ERR434913,Previously sequenced,2004,S,S,,R,R,S,R,,S,,,S
ERS356781,11658_6#7,ERR434841,Previously sequenced,2007,S,S,S,,S,S,S,I,S,S,R,S
ERS357533,11658_6#80,ERR434914,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357534,11658_6#81,ERR434915,Previously sequenced,2004,S,R,,R,R,S,R,,S,,,R
ERS357538,11658_6#82,ERR434916,Previously sequenced,2004,S,S,,R,R,S,S,,S,,,R
ERS357542,11658_6#83,ERR434917,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357547,11658_6#84,ERR434918,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357556,11658_6#85,ERR434919,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357560,11658_6#86,ERR434920,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357561,11658_6#87,ERR434921,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357569,11658_6#88,ERR434922,Previously sequenced,2005,R,R,,R,R,R,R,,S,,,R
ERS357570,11658_6#89,ERR434923,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS356784,11658_6#8,ERR434842,Previously sequenced,2007,S,S,R,,R,S,S,I,S,S,S,I
ERS357651,11658_6#90,ERR434924,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357904,11658_6#91,ERR434925,Previously sequenced,2008,R,R,,R,R,I,R,,R,,,R
ERS357918,11658_6#92,ERR434926,Previously sequenced,2009,S,S,,S,S,S,R,,S,,,S
ERS357936,11658_6#93,ERR434927,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS358034,11658_6#94,ERR434928,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS358049,11658_6#95,ERR434929,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358129,11658_6#96,ERR434930,Previously sequenced,2011,R,I,,R,R,S,R,,S,,,R
ERS356786,11658_6#9,ERR434843,Previously sequenced,2007,S,S,R,,R,S,S,I,S,S,S,S
ERS356819,11658_7#10,ERR434940,Previously sequenced,2008,S,S,S,,S,S,S,I,S,S,S,S
ERS356824,11658_7#11,ERR434941,Previously sequenced,2008,S,S,R,,R,S,S,I,S,S,S,S
ERS356834,11658_7#13,ERR434943,Previously sequenced,2008,S,S,R,,R,R,R,I,S,S,R,S
ERS356849,11658_7#14,ERR434944,Previously sequenced,2008,S,R,R,,R,S,R,R,S,S,S,S
ERS356853,11658_7#15,ERR434945,Previously sequenced,2009,S,S,R,,R,S,R,I,S,R,R,R
ERS356865,11658_7#16,ERR434946,Previously sequenced,2009,R,S,R,,S,S,S,R,S,S,R,R
ERS356869,11658_7#17,ERR434947,Previously sequenced,2009,S,S,S,,S,S,S,I,S,S,S,S
ERS356877,11658_7#18,ERR434948,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356888,11658_7#19,ERR434949,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356759,11658_7#1,ERR434931,Previously sequenced,2007,S,S,R,,S,S,S,I,S,S,R,S
ERS356903,11658_7#20,ERR434950,Previously sequenced,2009,S,S,S,,S,S,S,I,S,S,S,S
ERS356908,11658_7#21,ERR434951,Previously sequenced,2009,S,S,R,,S,S,S,S,S,S,S,S
ERS356909,11658_7#22,ERR434952,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356911,11658_7#23,ERR434953,Previously sequenced,2009,S,S,R,,R,S,R,R,R,R,R,R
ERS356922,11658_7#24,ERR434954,Previously sequenced,2009,S,S,R,,S,S,S,S,S,S,R,S
ERS356923,11658_7#25,ERR434955,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356926,11658_7#26,ERR434956,Previously sequenced,2010,S,R,R,,R,S,R,R,S,R,R,R
ERS357029,11658_7#27,ERR434957,Previously sequenced,2010,S,S,R,,R,R,S,I,S,S,S,S
ERS357038,11658_7#28,ERR434958,Previously sequenced,2011,S,S,S,,S,S,S,S,S,S,S,S
ERS357046,11658_7#29,ERR434959,Previously sequenced,2011,S,S,R,,R,S,S,I,S,S,R,S
ERS356774,11658_7#2,ERR434932,Previously sequenced,2007,S,S,R,,S,S,S,I,S,S,S,S
ERS357074,11658_7#30,ERR434960,Previously sequenced,2012,I,R,R,,R,S,R,R,R,R,R,R
ERS357085,11658_7#31,ERR434961,Previously sequenced,2012,S,S,R,,S,S,S,I,S,S,R,R
ERS357101,11658_7#32,ERR434962,Previously sequenced,2012,S,S,R,,S,S,S,S,S,S,S,S
ERS357103,11658_7#33,ERR434963,Previously sequenced,2012,S,R,R,,R,S,R,R,S,R,R,R
ERS357106,11658_7#34,ERR434964,Previously sequenced,2012,S,S,R,,S,S,S,S,S,S,R,S
ERS357107,11658_7#35,ERR434965,Previously sequenced,2012,I,R,R,,S,S,R,R,S,S,R,R
ERS357110,11658_7#36,ERR434966,Previously sequenced,2012,S,S,S,,S,S,S,S,S,S,S,S
ERS357157,11658_7#39,ERR434969,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS356776,11658_7#3,ERR434933,Previously sequenced,2007,S,S,R,,S,S,S,I,S,S,R,S
ERS357203,11658_7#40,ERR434970,Previously sequenced,2011,S,S,S,,S,S,S,S,S,S,S,S
ERS357210,11658_7#41,ERR434971,Previously sequenced,2001,S,,,R,S,S,S,,S,,,S
ERS357211,11658_7#42,ERR434972,Previously sequenced,2001,S,,,R,S,S,R,,S,,,S
ERS357214,11658_7#43,ERR434973,Previously sequenced,2001,S,,,R,S,S,R,,S,,,S
ERS357229,11658_7#44,ERR434974,Previously sequenced,2001,S,,,R,R,S,S,,S,,,S
ERS357232,11658_7#45,ERR434975,Previously sequenced,2001,S,,,R,R,S,S,,S,,,S
ERS357241,11658_7#46,ERR434976,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357243,11658_7#47,ERR434977,Previously sequenced,2002,S,S,,R,R,R,S,,S,,,S
ERS357246,11658_7#48,ERR434978,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357267,11658_7#49,ERR434979,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS356777,11658_7#4,ERR434934,Previously sequenced,2007,S,S,R,,S,S,S,I,S,S,S,S
ERS357289,11658_7#50,ERR434980,Previously sequenced,2002,S,S,,R,R,S,S,,S,,,S
ERS357291,11658_7#51,ERR434981,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS357398,11658_7#52,ERR434982,Previously sequenced,2003,S,S,,R,R,S,S,,S,,,S
ERS357409,11658_7#53,ERR434983,Previously sequenced,2003,R,R,,R,S,S,R,,S,,,R
ERS357414,11658_7#54,ERR434984,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS357423,11658_7#55,ERR434985,Previously sequenced,2004,S,S,,S,S,R,R,,S,,,S
ERS357435,11658_7#56,ERR434986,Previously sequenced,2004,S,S,,R,S,S,S,,S,,,S
ERS357445,11658_7#57,ERR434987,Previously sequenced,2004,S,S,,R,S,S,S,,S,,,S
ERS357446,11658_7#58,ERR434988,Previously sequenced,2004,S,S,,R,R,R,R,,S,,,S
ERS357465,11658_7#59,ERR434989,Previously sequenced,2002,R,R,,R,R,S,R,,S,,,S
ERS356780,11658_7#5,ERR434935,Previously sequenced,2007,S,S,S,,S,S,S,S,S,S,S,S
ERS357469,11658_7#60,ERR434990,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS357485,11658_7#62,ERR434992,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS357489,11658_7#63,ERR434993,Previously sequenced,2003,S,S,,R,R,S,S,,S,,,S
ERS357535,11658_7#64,ERR434994,Previously sequenced,2004,S,R,,R,R,I,R,,S,,,R
ERS357652,11658_7#65,ERR434995,Previously sequenced,2006,R,R,,R,R,S,R,,R,,,R
ERS357655,11658_7#66,ERR434996,Previously sequenced,2006,R,R,,R,R,S,R,,R,,,R
ERS357662,11658_7#67,ERR434997,Previously sequenced,2006,S,S,,R,S,S,S,,S,,,R
ERS357664,11658_7#68,ERR434998,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357666,11658_7#69,ERR434999,Previously sequenced,2006,S,S,,R,R,R,S,,S,,,S
ERS356797,11658_7#6,ERR434936,Previously sequenced,2008,S,S,R,,S,S,S,S,S,S,R,S
ERS357692,11658_7#70,ERR435000,Previously sequenced,2007,S,S,,R,S,S,S,,S,,,S
ERS357824,11658_7#71,ERR435001,Previously sequenced,2006,S,S,,S,S,S,S,,R,,,R
ERS357854,11658_7#72,ERR435002,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS357910,11658_7#73,ERR435003,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS357938,11658_7#74,ERR435004,Previously sequenced,2008,S,S,,R,R,S,S,,S,,,S
ERS357956,11658_7#75,ERR435005,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,S
ERS357964,11658_7#76,ERR435006,Previously sequenced,2009,I,S,,R,R,R,S,,S,,,S
ERS357973,11658_7#77,ERR435007,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,S
ERS357992,11658_7#78,ERR435008,Previously sequenced,2010,I,R,,R,R,R,R,,S,,,R
ERS357997,11658_7#79,ERR435009,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS356800,11658_7#7,ERR434937,Previously sequenced,2008,R,R,R,,S,S,R,R,S,S,R,R
ERS358004,11658_7#80,ERR435010,Previously sequenced,2010,S,S,,R,R,S,S,,S,,,S
ERS358013,11658_7#81,ERR435011,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS358024,11658_7#82,ERR435012,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS358027,11658_7#83,ERR435013,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,S
ERS358072,11658_7#84,ERR435014,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS358080,11658_7#85,ERR435015,Previously sequenced,2011,R,R,,R,R,S,R,,R,,,R
ERS358082,11658_7#86,ERR435016,Previously sequenced,2011,I,R,,R,S,S,R,,S,,,R
ERS358092,11658_7#87,ERR435017,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358094,11658_7#88,ERR435018,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358098,11658_7#89,ERR435019,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS356811,11658_7#8,ERR434938,Previously sequenced,2008,S,S,R,,R,S,S,I,R,R,R,R
ERS358104,11658_7#90,ERR435020,Previously sequenced,2011,S,S,,R,R,S,S,,S,,,R
ERS358108,11658_7#91,ERR435021,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358113,11658_7#92,ERR435022,Previously sequenced,2011,S,S,,R,R,S,S,,S,,,S
ERS358115,11658_7#93,ERR435023,Previously sequenced,2011,R,R,,R,R,S,R,,S,,,R
ERS358117,11658_7#94,ERR435024,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358122,11658_7#95,ERR435025,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358128,11658_7#96,ERR435026,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,R
ERS356814,11658_7#9,ERR434939,Previously sequenced,2008,S,S,S,,S,S,S,S,S,S,S,S
ERS356760,11658_8#24,ERR435027,Previously sequenced,2007,S,S,S,,S,S,S,S,S,S,S,S
ERS356778,11658_8#25,ERR435028,Previously sequenced,2007,S,S,S,,S,S,S,I,S,S,S,S
ERS356782,11658_8#26,ERR435029,Previously sequenced,2007,S,S,R,,S,S,S,S,S,S,R,R
ERS356795,11658_8#27,ERR435030,Previously sequenced,2007,S,S,S,,S,S,S,I,S,S,R,R
ERS356809,11658_8#28,ERR435031,Previously sequenced,2008,S,S,S,,S,S,S,S,S,S,S,S
ERS356810,11658_8#29,ERR435032,Previously sequenced,2008,S,S,S,,S,S,S,S,S,S,S,S
ERS356815,11658_8#30,ERR435033,Previously sequenced,2008,R,R,R,,R,S,R,R,R,R,S,R
ERS356816,11658_8#31,ERR435034,Previously sequenced,2008,S,S,S,,S,S,S,S,S,S,S,S
ERS356833,11658_8#32,ERR435035,Previously sequenced,2008,S,S,R,,S,S,S,I,S,S,R,S
ERS356843,11658_8#33,ERR435036,Previously sequenced,2008,R,R,R,,S,S,R,R,S,S,S,S
ERS356844,11658_8#34,ERR435037,Previously sequenced,2008,S,S,S,,S,S,S,S,S,S,S,S
ERS356866,11658_8#35,ERR435038,Previously sequenced,2009,S,S,R,,R,S,S,S,S,S,R,S
ERS356883,11658_8#36,ERR435039,Previously sequenced,2009,S,S,R,,R,S,R,I,S,S,S,S
ERS356890,11658_8#37,ERR435040,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356895,11658_8#38,ERR435041,Previously sequenced,2009,S,S,R,,R,S,S,I,S,S,R,S
ERS356897,11658_8#39,ERR435042,Previously sequenced,2009,S,S,R,,S,S,S,S,S,S,R,R
ERS356913,11658_8#40,ERR435043,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356919,11658_8#41,ERR435044,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356920,11658_8#42,ERR435045,Previously sequenced,2009,S,S,R,,S,S,S,S,S,S,R,S
ERS356928,11658_8#43,ERR435046,Previously sequenced,2010,S,S,S,,S,S,S,S,S,S,S,S
ERS357037,11658_8#44,ERR435047,Previously sequenced,2011,S,S,S,,S,S,S,S,S,S,S,S
ERS357040,11658_8#45,ERR435048,Previously sequenced,2011,S,S,R,,R,R,S,R,S,S,R,S
ERS357045,11658_8#46,ERR435049,Previously sequenced,2011,S,S,R,,R,S,S,S,S,S,S,S
ERS357047,11658_8#47,ERR435050,Previously sequenced,2011,S,S,R,,S,S,S,I,S,S,S,S
ERS357048,11658_8#48,ERR435051,Previously sequenced,2011,S,S,S,,S,S,S,S,S,S,S,S
ERS357049,11658_8#49,ERR435052,Previously sequenced,2011,S,S,S,,S,S,S,I,S,S,S,S
ERS357052,11658_8#50,ERR435053,Previously sequenced,2011,S,S,R,,S,S,S,S,S,S,R,S
ERS357056,11658_8#51,ERR435054,Previously sequenced,2012,S,S,S,,S,S,S,I,S,S,S,S
ERS357070,11658_8#52,ERR435055,Previously sequenced,2012,S,S,R,,R,R,S,I,S,S,S,S
ERS357072,11658_8#53,ERR435056,Previously sequenced,2012,S,S,R,,S,S,S,I,S,S,R,S
ERS357086,11658_8#54,ERR435057,Previously sequenced,2012,S,S,R,,S,S,S,S,R,R,R,S
ERS357088,11658_8#55,ERR435058,Previously sequenced,2012,R,R,R,,R,S,R,R,S,R,R,R
ERS357202,11658_8#56,ERR435059,Previously sequenced,2011,S,S,R,,S,S,S,S,S,S,R,S
ERS357209,11658_8#57,ERR435060,Previously sequenced,2012,S,S,R,,S,S,S,I,S,S,R,I
ERS357235,11658_8#58,ERR435061,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS357251,11658_8#59,ERR435062,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357396,11658_8#60,ERR435063,Previously sequenced,2003,S,S,,R,S,S,S,,S,,,S
ERS357405,11658_8#61,ERR435064,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS357427,11658_8#62,ERR435065,Previously sequenced,2004,S,S,,S,S,I,S,,S,,,S
ERS357430,11658_8#63,ERR435066,Previously sequenced,2004,S,S,,R,S,S,S,,S,,,S
ERS357441,11658_8#64,ERR435067,Previously sequenced,2004,S,S,,R,R,S,S,,R,,,R
ERS357444,11658_8#65,ERR435068,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357466,11658_8#66,ERR435069,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS357467,11658_8#67,ERR435070,Previously sequenced,2003,S,S,,R,S,S,S,,S,,,S
ERS357468,11658_8#68,ERR435071,Previously sequenced,2003,S,S,,R,S,S,S,,S,,,R
ERS357480,11658_8#69,ERR435072,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS357487,11658_8#70,ERR435073,Previously sequenced,2003,S,S,,R,S,S,S,,S,,,S
ERS357491,11658_8#71,ERR435074,Previously sequenced,2004,S,S,,R,S,S,S,,S,,,S
ERS357492,11658_8#72,ERR435075,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357493,11658_8#73,ERR435076,Previously sequenced,2004,S,S,,R,R,S,S,,S,,,S
ERS357495,11658_8#74,ERR435077,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357496,11658_8#75,ERR435078,Previously sequenced,2005,S,S,,R,R,S,S,,I,,,S
ERS357498,11658_8#76,ERR435079,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,S
ERS357504,11658_8#77,ERR435080,Previously sequenced,2004,S,S,,R,S,S,S,,S,,,S
ERS357505,11658_8#78,ERR435081,Previously sequenced,2004,S,S,,R,S,S,S,,S,,,R
ERS357508,11658_8#79,ERR435082,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,I
ERS357514,11658_8#80,ERR435083,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357515,11658_8#81,ERR435084,Previously sequenced,2004,S,S,,R,S,S,S,,S,,,S
ERS357516,11658_8#82,ERR435085,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357520,11658_8#83,ERR435086,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357528,11658_8#84,ERR435087,Previously sequenced,2004,S,R,,R,R,I,R,,S,,,R
ERS357530,11658_8#85,ERR435088,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,R
